,sentiment,published_at,title,content,url,category,id
0,,2021-09-30 12:08:04+00:00,Genius Sports : Connecticut Awards Genius Sports Inaugural Sports Betting License,"State gaming authority grants Genius Sports approval to support sportsbook partners statewide.
... | September 30,  2021",https://www.marketscreener.com/images/twitter_MS_fdgris.png,Sports,0ljj9n3oyKZd0YcBnYzn
1,,2023-01-21 08:45:43+00:00,Why read fiction?,"It opens doors to a new life, we become a better version of ourselves",https://th-i.thgim.com/public/news/national/wj7iv8/article66398899.ece/alternates/LANDSCAPE_1200/iStock-1395353489%20%281%29.jpg,Fiction,2a5VqFAaVVczHXE7AV2m
2,,2021-12-02 21:15:16+00:00,Google My Business Becomes Google Business Profile,Google My Business has become Google Business Profile. This will allow small businesses to better manage their profile and engage with their customers,https://media.smallbiztrends.com/2021/12/your-business-on-googel.png,Business,3cxfq3Qv0uMnC4tMWLze
3,,2024-07-26 21:16:24+00:00,Three Types of Science: Experimental Science,"Kirk Durston says he has yet to find a true conflict between experimental, reproducible scientific observations and his religious faith.",https://evolutionnews.org/wp-content/uploads/2024/07/Anna_Ostroumova-Lebedeva_-_Laboratory_-_1915.png,Science,4kit18bAHMJuNzfr2zjH
4,,2024-09-03 13:00:43+00:00,Realistic Fiction,"Realistic fiction depicts situations that could happen in real life, with authentic characters who react in a believable way.",https://fivebooks.com/best-books/realistic-fiction/shareimage.jpg,Fiction,7JkmiMzDXsqdCF24KHe0
5,,2024-06-04 22:57:29+00:00,Google launches Google Developer Program,"New program will provide Gemini AI coding assistance, Project IDX workspaces, and other new tools, training, and community resources for software developers.","https://images.idgesg.net/images/idge/imported/imageapi/2024/03/20/22/shutterstock_724340023-100962863-large.jpg?auto=webp&quality=85,70",Google,9Z0qImlr4D5GYgDOlypG
6,,2022-12-06 15:00:00+00:00,Apple Introduces Apple Music Sing,"CUPERTINO, Calif., December 06, 2022--Apple® today announced Apple Music® Sing, an exciting new feature that allows users to sing along to their favorite song...",https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,Apple,9yGMgHBHIJiYtXJxC061
7,,2024-08-05 00:53:29+00:00,Three Types of Science: Fantasy Science,"One example of fantasy science, according to biophysicist Kirk Durston, is the multiverse.",https://evolutionnews.org/wp-content/uploads/2024/08/Multiverse_light_sculpture_-_HDR.jpg,Science,CIhnOUwOLKseFZMl2XTS
8,,2024-05-21 15:30:39+00:00,Uber Making Changes To Uber Giftcards,Uber is making some changes to Uber gift cards. You can read the new Gift Card terms in full here. These changes will be effective from 20 June 2024.,https://www.doctorofcredit.com/wp-content/uploads/2020/06/facebook.png,Uber,D1ldKwlrm44RNvREd5Xs
9,,2023-02-28 15:05:05+00:00,Kakao Entertainment defends partnership deal with SM Entertainment,Korean tech firm Kakao's entertainment arm said Monday its business agreement with K-pop powerhouse SM Entertainment is aimed at creating synergy between the co...,https://koreatimes-bucket.s3.ap-northeast-2.amazonaws.com/IMAGE/upload/newsV2/images/202302/8b52fa7194d441c2927af4013d375315.jpg,Entertainment,FT39TfYouF3nmyyRBqIS
10,,2023-02-27 11:19:55+00:00,Kakao Entertainment defends partnership deal with SM Entertainment,"SEOUL, Feb. 27 (Yonhap) -- South Korean tech firm Kakao's entertainment arm said Mond...",https://img2.yna.co.kr/etc/inner/EN/2023/02/27/AEN20230227003000315_01_i_P4.jpg,Entertainment,FhnsDjlU0zcHBTJNRVzv
11,,2021-12-18 20:48:00+00:00,Business in 2021 | Business panel,Our Weekend business panel discusses some of the top business stories of 2021.  They also look ahead to the new year.,https://thumbnails.cbc.ca/maven_legacy/thumbnails/207/99/1.jpg,Business,GsmALOXYn3eRiLOs6rmI
12,,2021-06-24 20:31:09+00:00,Caesars Entertainment : Horseshoe Hammond Remains Part Of Caesars Entertainment,"HAMMOND, Ind., June 24, 2021 /PRNewswire/ -- Today, the Indiana Gaming Commission  amended its order requiring Caesars Entertainment, Inc   to sell a third cas...",https://www.marketscreener.com/images/twitter_MS_fdgris.png,Entertainment,H0LB0SiySJf9WyvK9lnR
13,,2024-09-27 11:15:50+00:00,Politics now only means 'power politics': Gadkari,"A good party worker is the one who behaves well even though he does not get anything in the party. Those who get something, they naturally behave well, Gadkari ...",https://im.rediff.com/news/2024/sep/27nitin-gadkari.jpg,Politics,IlS1NAFL57nGPYQRgAWM
14,,2024-07-28 14:11:29+00:00,Gazetting 103 sports under sports development act helps less popular sports - Hannah,"KUALA LUMPUR: The move to gazette 103 types of sports under the Sports Development Act 1997 (Act 576) last year, has indirectly helped in the promotio...",https://thesun.my/binrepository/480x320/0c35/480d250/none/11808/CQHW/kl43-28072024-kejohanan-pickleball_4389275_20240728221132.jpg,Sports,LuIJoJ5kYs9E0NWmw7HS
15,,2024-05-20 17:49:03+00:00,Uber To Revive Uber Shuttle For Events,Uber is continuing to expand its horizons beyond traditional taxi services: the company is introducing a new shuttle service for select gigs.,https://www.edmtunes.com/wp-content/uploads/2024/05/volta-uber-shuttle-main-mobile_out.jpg,Uber,MGrHza2QezWWGl3aGsjb
16,,2024-11-03 04:43:28+00:00,SMOKERS’ CORNER: THE POLITICS OF ‘ANTI-POLITICS’,The anarchic and emotional brand of politics that the PTI has been engaging in is an attempt at barnstorming the mainstream political arena from the outside.,https://i.dawn.com/large/2024/11/6726f8350f097.jpg,Politics,NlWGMWJ8IYNdQ5PRQEvo
17,,2024-07-12 05:31:34+00:00,U.S. Travel Association: Travel prices decline,"U.S. Travel Association says June's CPI data indicates broad inflation easing, led by a notable 1.4% decline in travel-related costs (hotel, airline, gas).",https://www.traveldailynews.com/wp-content/uploads/2024/07/US-Travel-1200x580.jpg,Travel,PClkVUAPepGecMQJl6mv
18,,2024-09-19 05:47:06+00:00,Emerging Travel Group strengthens corporate travel,"Emerging Travel Group appoints Sergiu Les as Head of Corporate Department to enhance its corporate travel brand Roundtrip, aiming to expand and meet growing bus...",https://www.traveldailynews.com/wp-content/uploads/2024/09/Emerging-Travel-Group-Sergiu-Les-1200x580.jpg,Travel,QgTfEREIZ2MqEURIdzJj
19,,2022-10-24 21:36:54+00:00,"Apple raising prices of Apple Music, Apple One and Apple TV+","Apple confirmed Monday it raised the prices of three of its streaming services: Apple Music, Apple TV+ and Apple One.","https://www.gannett-cdn.com/presto/2022/10/24/USAT/069d5149-b04d-49ac-a9c9-2ca1d87a7c33-AP_Election_2022_Illinois_Union_Amendment.jpg?auto=webp&crop=5671,3190,x1,y215&format=pjpg&width=1200",Apple,RUanjlwtKZkm3fMnWXt8
20,,2022-10-24 16:56:26+00:00,"Apple Increases Apple Music, Apple TV+ and Apple One Prices By Investing.com","Apple Increases Apple Music, Apple TV+ and Apple One Prices",https://i-invdn-com.investing.com/news/moved_LYNXMPEI8J04C_L.jpg,Apple,Rbnm3uFDrVtaOV7s1gMY
